Date,Open,High,Low,Close,Adj Close,Volume
2022-08-29,38111.601563,38397.101563,37943.851563,38276.699219,38276.253906,158000
2022-08-30,38516.949219,39606.550781,38472.699219,39536.750000,39536.289063,176800
2022-09-01,38806.699219,39667.648438,38803.300781,39301.250000,39300.792969,191200
2022-09-02,39422.300781,39595.851563,39200.449219,39421.000000,39420.542969,133900
2022-09-05,39412.050781,39865.199219,39407.398438,39805.750000,39805.289063,214100
2022-09-06,39892.949219,40073.750000,39564.300781,39666.500000,39666.039063,210200
2022-09-07,39337.750000,39572.050781,39258.250000,39455.898438,39455.441406,138900
2022-09-08,39763.898438,40265.750000,39706.398438,40208.949219,40208.480469,203800
2022-09-09,40520.750000,40685.949219,40280.300781,40415.699219,40415.230469,207000
2022-09-12,40540.449219,40684.898438,40377.898438,40574.000000,40573.527344,147000
2022-09-13,40802.101563,40904.300781,40693.949219,40873.101563,40872.625000,176400
2022-09-14,40308.800781,41626.898438,40288.898438,41405.398438,41404.917969,218400
2022-09-15,41533.699219,41840.148438,41153.500000,41209.199219,41208.718750,245300
2022-09-16,40977.199219,41162.500000,40502.050781,40776.800781,40776.328125,244200
2022-09-19,40685.601563,41184.250000,40509.898438,40904.398438,40903.921875,206000
2022-09-20,41304.148438,41677.648438,41207.300781,41468.300781,41467.820313,175200
2022-09-21,41282.601563,41501.699219,40889.148438,41203.449219,41202.968750,151300
2022-09-22,40889.050781,41159.199219,40360.199219,40630.601563,40630.128906,209500
2022-09-23,40429.351563,40528.398438,39412.699219,39546.250000,39545.789063,226200
2022-09-26,39027.851563,39229.398438,38492.199219,38616.250000,38615.800781,241800
2022-09-27,38811.699219,39050.500000,38184.898438,38359.148438,38358.703125,168700
2022-09-28,38081.250000,38368.800781,37626.199219,37759.851563,37759.414063,210600
2022-09-29,38092.851563,38283.398438,37536.648438,37647.750000,37647.312500,253000
2022-09-30,37660.000000,38811.000000,37386.351563,38631.949219,38631.500000,246100
2022-10-03,38444.898438,38641.601563,37963.250000,38029.648438,38029.207031,172900
2022-10-04,38700.398438,39177.500000,38596.898438,39110.050781,39109.597656,241100
2022-10-06,39343.699219,39608.351563,39232.898438,39282.851563,39282.394531,158800
2022-10-07,39093.500000,39235.050781,38807.500000,39178.050781,39177.593750,165000
2022-10-10,38641.550781,39315.699219,38518.300781,39093.101563,39092.648438,159700
2022-10-11,39058.851563,39174.949219,38622.750000,38712.449219,38712.000000,177600
2022-10-12,38784.199219,39164.101563,38606.398438,39118.550781,39118.097656,195800
2022-10-13,38957.648438,39061.300781,38437.949219,38624.000000,38623.550781,158900
2022-10-14,39446.050781,39570.851563,39196.300781,39305.601563,39305.144531,185600
2022-10-17,39295.601563,39974.699219,39146.699219,39920.449219,39919.984375,201600
2022-10-18,40252.050781,40435.351563,40139.851563,40318.750000,40318.281250,245200
2022-10-19,40556.648438,40643.601563,40195.199219,40373.199219,40372.730469,232900
2022-10-20,40149.500000,40208.351563,39848.851563,40099.550781,40099.085938,262800
2022-10-21,40370.750000,41032.250000,40355.449219,40784.050781,40783.578125,324200
2022-10-24,41348.351563,41427.250000,41201.148438,41304.898438,41304.417969,74300
2022-10-25,41513.648438,41530.648438,41021.449219,41122.750000,41122.273438,351800
2022-10-27,41440.699219,41511.800781,41178.648438,41299.300781,41298.820313,239400
2022-10-28,41236.800781,41482.398438,40839.300781,40990.851563,40990.375000,237100
2022-10-31,41265.699219,41353.699219,41106.101563,41307.898438,41307.417969,237200
2022-11-01,41552.398438,41677.250000,41188.550781,41289.550781,41289.070313,304400
2022-11-02,41472.601563,41474.300781,41060.449219,41146.648438,41146.171875,175800
2022-11-03,40873.699219,41478.000000,40819.148438,41298.351563,41297.871094,263600
2022-11-04,41314.851563,41516.199219,41051.148438,41258.449219,41257.968750,190400
2022-11-07,41740.648438,41779.398438,41337.050781,41686.699219,41686.214844,393400
2022-11-09,41914.851563,41948.898438,41667.898438,41783.199219,41782.714844,490500
2022-11-10,41462.851563,41643.898438,41318.601563,41603.750000,41603.265625,253400
2022-11-11,42163.398438,42345.500000,41918.101563,42137.050781,42136.562500,255400
2022-11-14,42177.550781,42231.449219,41965.449219,42076.750000,42076.261719,142700
2022-11-15,42234.851563,42450.050781,42079.550781,42372.699219,42372.207031,139400
2022-11-16,42371.800781,42611.750000,42296.300781,42535.300781,42534.804688,185400
2022-11-17,42399.648438,42622.750000,42366.550781,42458.050781,42457.558594,165400
2022-11-18,42545.750000,42590.750000,42223.699219,42437.449219,42436.957031,280100
2022-11-21,42286.949219,42386.800781,42202.550781,42346.550781,42346.058594,259100
2022-11-22,42467.398438,42508.750000,42347.148438,42457.050781,42456.558594,216300
2022-11-23,42668.550781,42860.550781,42556.398438,42729.101563,42728.605469,359100
2022-11-24,42838.351563,43163.398438,42769.648438,43075.398438,43074.898438,204900
2022-11-25,43192.449219,43339.148438,42864.949219,42983.949219,42983.449219,502800
2022-11-28,42757.199219,43159.800781,42740.000000,43020.449219,43019.949219,238700
2022-11-29,42959.398438,43279.601563,42959.398438,43053.449219,43052.949219,223000
2022-11-30,43122.750000,43332.300781,42880.050781,43231.000000,43230.496094,202000
2022-12-01,43512.101563,43515.050781,43101.851563,43260.648438,43260.144531,268400
2022-12-02,42976.699219,43131.898438,42937.800781,43103.750000,43103.250000,212800
